id,lat,long,latsta,longsta,magnitudo,kategori_magnitudo, kedalaman,kategori_kedalaman,PGA,kategori_PGA, jarakhipo,kategori_jarakhipo,MMI,efek_gempa
1,2.82,127.4,1.823,127.78,5,Kuat,10,Sangat Dangkal,0.8768,Kecil,118.854,Intermediet,2,Tidak Ada atau Jarang Kerusakan
2,2.82,127.4,1.443,125.179,5,Kuat,10,Sangat Dangkal,3.41213,Kecil,290.241,Intermediet,3,Tidak Ada atau Jarang Kerusakan
3,1.39,99.33,1.39876,99.43094,3.4,Sedang,10,Sangat Dangkal,30.8741,Medium,15.049,Sangat Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
4,-8.88,108.72,-7.784,108.449,5.1,Kuat,10,Sangat Dangkal,0.65543,Kecil,125.718,Intermediet,2,Tidak Ada atau Jarang Kerusakan
5,-8.19,108.3,-7.326,108.223,4.2,Sedang,31,Dangkal,2.43372,Kecil,101.152,Intermediet,2,Tidak Ada atau Jarang Kerusakan
6,1.64,99.19,1.1648,97.7038,3.2,Sedang,10,Sangat Dangkal,0.42394,Kecil,173.484,Intermediet,2,Tidak Ada atau Jarang Kerusakan
7,-2.83,101.53,-2.44736,101.2396,4.9,Sedang,87,Menengah,12.497,Medium,102.039,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
8,1.38,98.04,1.1648,97.7038,5.4,Kuat,41,Dangkal,29.8482,Medium,60.368,Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
9,1.38,98.04,2.0256,98.9594,5.4,Kuat,41,Dangkal,15.8872,Medium,131.268,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
10,1.44,98.05,4.26685,96.40398,4.6,Sedang,25,Dangkal,0.09074,Kecil,363.958,Dalam,1,Tidak Ada atau Jarang Kerusakan
11,-6.98,113.58,-7.7349,111.7669,3.3,Sedang,14,Dangkal,0.012004,Kecil,218.451,Intermediet,1,Tidak Ada atau Jarang Kerusakan
12,-9.58,120.16,-9.669,120.2976,5.7,Kuat,77,Menengah,40.91085,Medium,79.119,Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
13,-9.58,120.16,-9.6694,120.2998,5.7,Kuat,77,Menengah,70.76833,Besar,79.172,Dangkal,6,"Kerusakan Kecil, Retak pada Dinding"
14,-3.18,135.65,-3.3656,135.4972,4.8,Sedang,9,Sangat Dangkal,11.29561,Medium,28.162,Sangat Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
15,-1.69,100.31,-0.91176,100.46172,5.5,Kuat,17,Dangkal,83.07635,Besar,89.638,Dangkal,6,"Kerusakan Kecil, Retak pada Dinding"
16,4.44,122.7,0.63,122.85,7.3,Kuat,618,Dalam,5.491446,Kecil,749.035,Sangat Dalam,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
