id,lat,long,latsta,longsta,magnitudo,kategori_magnitudo, kedalaman,kategori_kedalaman,PGA,kategori_PGA, jarakhipo,kategori_jarakhipo,MMI,kategori_MMI
1,-2.06,139.74,-2.51,140.7,5.3,Kuat,10,Sangat Dangkal,3.73861,Kecil,118.11,Intermediet,3,Tidak Ada atau Jarang Kerusakan
2,-4.1,102.72,-3.6506,102.593,5,Kuat,101,Menengah,1.56587,Kecil,113.526,Intermediet,2,Tidak Ada atau Jarang Kerusakan
3,-5.1,126.5,1.443,125.179,5.1,Kuat,10,Sangat Dangkal,15.2459,Medium,151.657,Intermediet,3,Tidak Ada atau Jarang Kerusakan
4,-5.67,133.67,-5.6639,132.7361,5.1,Kuat,10,Sangat Dangkal,0.60196,Kecil,104.146,Intermediet,1,Tidak Ada atau Jarang Kerusakan
5,1.39,99.33,1.39876,99.43094,3.4,Sedang,10,Sangat Dangkal,30.8741,Medium,15.049,Sangat Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
6,-6.6,104.78,-5.52361,104.49596,5.7,Kuat,10,Sangat Dangkal,4.17734,Kecil,123.973,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
7,-3.7,138.67,-4.5299,136.8929,6.1,Kuat,111,Menengah,4.23766,Kecil,244.372,Intermediet,3,Tidak Ada atau Jarang Kerusakan
8,1.26,119.98,-0.9053,119.8368,5.2,Kuat,10,Sangat Dangkal,0.28038,Kecil,241.081,Intermediet,1,Tidak Ada atau Jarang Kerusakan
9,-4.31,102.41,-3.8583,102.3366,5.4,Kuat,31,Dangkal,2.97906,Kecil,59.509,Dangkal,2,Tidak Ada atau Jarang Kerusakan
10,-9.39,110.53,-7.561,110.8541,5.1,Kuat,10,Sangat Dangkal,0.16823,Kecil,206.424,Intermediet,1,Tidak Ada atau Jarang Kerusakan
11,-0.56,137.57,-1.1907,136.1038,5,Kuat,10,Sangat Dangkal,8.91334,Kecil,177.449,Intermediet,3,Tidak Ada atau Jarang Kerusakan
12,-9.29,118.42,-9.6411,119.3911,5.6,Kuat,10,Sangat Dangkal,1.28976,Kecil,115.056,Intermediet,1,Tidak Ada atau Jarang Kerusakan
13,1.36,97.09,0.5792,97.815,5.2,Kuat,26,Dangkal,1.52546,Kecil,121.094,Intermediet,1,Tidak Ada atau Jarang Kerusakan
14,4.56,126.83,4.0079,126.67,5.8,Kuat,17,Dangkal,5.843322,Kecil,66.031,Dangkal,3,Tidak Ada atau Jarang Kerusakan
15,-8.74,118.37,-10.2189,120.5777,4.9,Sedang,119,Menengah,0.204618,Kecil,318.058,Dalam,1,Tidak Ada atau Jarang Kerusakan
16,-6.13,103.65,-7.784,108.449,5,Kuat,10,Sangat Dangkal,0.014952,Kecil,563.528,Dalam,1,Tidak Ada atau Jarang Kerusakan
17,-1.41,134.96,-0.8903,134.0512,5.3,Kuat,10,Sangat Dangkal,1.481952,Kecil,116.636,Intermediet,1,Tidak Ada atau Jarang Kerusakan
18,-7.1,106.08,-7.0053,106.5563,5,Kuat,10,Sangat Dangkal,1.956476,Kecil,54.824,Dangkal,2,Tidak Ada atau Jarang Kerusakan
19,-2.76,100.18,-2.44736,101.2396,5,Kuat,22,Dangkal,1.662407,Kecil,124.586,Intermediet,1,Tidak Ada atau Jarang Kerusakan
20,-8.06,117.81,-8.50188,118.31213,5,Kuat,10,Sangat Dangkal,2.76632,Kecil,74.915,Dangkal,1,Tidak Ada atau Jarang Kerusakan
21,-2.76,127.55,-3.23897,127.09982,5.2,Kuat,12,Dangkal,8.075899,Kecil,73.943,Dangkal,2,Tidak Ada atau Jarang Kerusakan
22,-8.64,116.15,-8.7382,116.8821,4.5,Sedang,109,Menengah,2.516178,Kecil,136.395,Intermediet,2,Tidak Ada atau Jarang Kerusakan
23,-9.68,115.2,-8.7498,115.1769,5,Kuat,10,Sangat Dangkal,4.330423,Kecil,103.767,Intermediet,3,Tidak Ada atau Jarang Kerusakan
24,5.77,125.22,1.5013,124.9178,6,Kuat,77,Menengah,4.142665,Kecil,481.212,Dalam,3,Tidak Ada atau Jarang Kerusakan
25,-9.97,119,-9.6411,119.3911,5.4,Kuat,10,Sangat Dangkal,6.287719,Kecil,57.597,Dangkal,3,Tidak Ada atau Jarang Kerusakan
26,-9.88,118.97,-8.50188,118.31213,5,Kuat,10,Sangat Dangkal,0.716115,Kecil,169.802,Intermediet,1,Tidak Ada atau Jarang Kerusakan
27,-5.88,103.43,-5.0175,104.0589,5.2,Kuat,10,Sangat Dangkal,14.170544,Medium,118.907,Intermediet,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
28,0.24,122.09,0.4771,121.9406,5.1,Kuat,186,Menengah,3.714626,Kecil,188.583,Intermediet,3,Tidak Ada atau Jarang Kerusakan
29,-5.19,101.04,-8.7382,116.8821,4.8,Sedang,27,Dangkal,2.024301,Kecil,111.187,Intermediet,2,Tidak Ada atau Jarang Kerusakan
30,-8.26,116.55,-8.562,116.167,6.4,Kuat,10,Sangat Dangkal,25.040397,Medium,55.055,Dangkal,4,Barang-Barang Bergerak dan Tidak Ada Kerusakan
31,-8.29,116.62,-8.7382,116.8821,5.4,Kuat,10,Sangat Dangkal,56.688594,Besar,58.494,Dangkal,5,Barang-Barang Bergerak dan Tidak Ada Kerusakan
32,-8.28,116.71,-8.7382,116.8821,7,Kuat,10,Sangat Dangkal,313.989354,Sangat Besar,55.242,Dangkal,8,"Kerusakan Menengah, Hancurnya Dinding"
33,3.08,126.58,1.54,124.92,5.1,Kuat,10,Sangat Dangkal,0.2195,Kecil,250.87,Intermediet,1,Tidak Ada atau Jarang Kerusakan
34,-2.02,139.11,-1.99,138.71,5.1,Kuat,10,Sangat Dangkal,1.2044,Kecil,43.72,Sangat Dangkal,3,Tidak Ada atau Jarang Kerusakan
35,-6.47,103.69,-5.37,105.25,4.9,Sedang,27,Dangkal,0.4978,Kecil,211.2,Intermediet,1,Tidak Ada atau Jarang Kerusakan
36,-11.46,118.2,-8.74,116.88,5.2,Kuat,10,Sangat Dangkal,0.4087,Kecil,334.3,Dalam,1,Tidak Ada atau Jarang Kerusakan
37,2.49,127.31,1.44,124.84,5,Kuat,38,Dangkal,0.0284,Kecil,297.51,Intermediet,1,Tidak Ada atau Jarang Kerusakan
38,-6.68,130.46,-4.31,129.54,5.5,Kuat,129,Menengah,0.5596,Kecil,307.1,Dalam,2,Tidak Ada atau Jarang Kerusakan
